LoadNumber,Plant,Material,ZipCode,Revenue,Penalty,Inventory,ShippingCost,Distance,DockRemaining,ThroughputRemaining,Inventory_OK,Dock_OK,Throughput_OK,Feasible,Revenue_Norm,ShippingCost_Norm,Inventory_Norm,DockRemaining_Norm,ThroughputRemaining_Norm,Penalty_Norm,AdaptiveScore,QuantumImportance,QubitVariable
U108960085,5420,12568056,88,356600,0.0,358.0,447,56,69.31666666666666,129.33333333333334,True,True,True,True,1.0,0.029759165516183454,0.0010026991425096687,0.9999999999999999,0.570414371159193,0.0,0.49975205060824984,0.5454622854338229,q0
U108963027,5420,12568056,88,356600,0.0,358.0,447,56,69.31666666666666,129.33333333333334,True,True,True,True,1.0,0.029759165516183454,0.0010026991425096687,0.9999999999999999,0.570414371159193,0.0,0.49975205060824984,0.5454622854338229,q1
U108955044,5620,12568056,917,356600,0.0,637.0,335,8,64.4,123.34117647058824,True,True,True,True,1.0,0.012578616352201255,0.0017863211614457964,0.8706140350877195,0.510476204270142,0.0,0.4852323180219527,0.5408186826162185,q2
U108960076,5620,12568056,917,356600,0.0,637.0,335,8,64.4,123.34117647058824,True,True,True,True,1.0,0.012578616352201255,0.0017863211614457964,0.8706140350877195,0.510476204270142,0.0,0.4852323180219527,0.5408186826162185,q3
U108960085,5385,12568056,88,356600,0.0,205.0,2206,811,61.35,172.28,True,True,True,True,1.0,0.29958582604693973,0.0005729709385769537,0.7903508771929825,1.0,0.0,0.4542245768483498,0.4822030630640628,q8
U108957553,5385,12568056,917,356600,0.0,205.0,3205,1988,61.35,172.28,True,True,True,True,1.0,0.4528301886792453,0.0005729709385769537,0.7903508771929825,1.0,0.0,0.41591348619027346,0.4400608633401788,q14
U108960085,5410,12568056,88,356600,0.0,193.0,2132,877,31.316666666666666,145.5,True,True,True,True,1.0,0.28823439177788,0.0005392667657194858,0.0,0.7321258194576962,0.0,0.35123487401615755,0.4324092415796828,q15
U108957553,5490,12568056,917,356600,0.0,81.0,2395,1382,47.5,105.27450980392157,True,True,True,True,1.0,0.32857800276115967,0.00022469448571645238,0.4258771929824562,0.32975949297573226,0.0,0.34345287207838643,0.42245097034930507,q18
U108960083,5641,12482617,88,238801,0.0,7335.0,2187,803,41.333333333333336,72.3076923076923,True,True,True,True,0.6696532732085969,0.29667126859947845,0.020598866978055772,0.2635964912280703,0.0,0.0,0.18966030764265468,0.2522553888428874,q45
U108952001,5420,12305118,88,92359,0.0,1409.0,447,56,69.31666666666666,129.33333333333334,True,True,True,True,0.2589822542289227,0.029759165516183454,0.003954622948609563,0.9999999999999999,0.570414371159193,0.0,0.2408386281592878,0.1938478466683237,q76
U108957536,5420,12305118,88,92359,0.0,1409.0,447,56,69.31666666666666,129.33333333333334,True,True,True,True,0.2589822542289227,0.029759165516183454,0.003954622948609563,0.9999999999999999,0.570414371159193,0.0,0.2408386281592878,0.1938478466683237,q77
U108968842,5385,11007308,431,83966,0.04,159356.0,1165,399,61.35,172.28,True,True,True,True,0.23544555121819896,0.13989875747814082,0.4475773721418159,0.7903508771929825,1.0,1.0,0.2436029470974051,0.19382919389953193,q79
U108965291,5420,11000324,73,30939,0.0,231044.0,525,89,69.31666666666666,129.33333333333334,True,True,True,True,0.08674058868398618,0.041724190826813924,0.6489261007923288,0.9999999999999999,0.570414371159193,0.0,0.2743085105674603,0.18936410830452033,q86
U108963191,5620,11000324,913,58864,0.0,61150.0,493,53,64.4,123.34117647058824,True,True,True,True,0.165051375241172,0.03681546249424759,0.17174803883844186,0.8706140350877195,0.510476204270142,0.0,0.21243534547240073,0.1587981678763369,q128
U108971563,5385,12563287,60,110405,0.0,27918.0,2444,924,61.35,172.28,True,True,True,True,0.3095891102436398,0.3360944930204019,0.07840994947182751,0.7903508771929825,1.0,0.0,0.21512914547024584,0.15394762932874595,q139
